datetime,lat,lon,alt_m,speed_kts,cog,satellites,hdop,battery_pct,battery_v,charge_rate,rtc_bat_low,fix,boot
2026-05-13T00:02:54,36.501389,-4.812483,31.4,0.88,107.4,7,1.4,103.8,4.213,-4.2,0,1,80509
2026-05-13T00:05:59,36.501396,-4.812531,30.1,1.70,32.5,9,1.0,104.0,4.214,-4.2,0,1,80510
2026-05-13T00:09:03,36.501392,-4.812549,31.8,1.02,19.4,6,1.3,104.1,4.215,-4.4,0,1,80511
2026-05-13T00:09:33,36.501347,-4.812577,31.9,0.18,79.6,7,1.4,104.0,4.215,-4.2,0,1,80512
2026-05-13T00:10:03,36.501381,-4.812539,31.9,1.99,238.9,8,1.1,104.1,4.214,-4.4,0,1,80513
2026-05-13T00:10:33,36.501404,-4.812529,31.8,1.40,25.6,8,1.3,104.1,4.214,-4.4,0,1,80514
2026-05-13T00:11:03,36.501446,-4.812550,31.7,1.36,323.5,4,2.0,104.1,4.214,2772.6,0,1,80515
2026-05-13T00:11:33,36.501369,-4.812509,31.8,0.82,127.4,8,1.1,104.1,4.214,-4.4,0,1,80516
2026-05-13T00:12:03,36.501377,-4.812463,31.5,2.27,30.5,7,1.2,104.3,4.216,-4.2,0,1,80517
2026-05-13T00:12:33,36.501358,-4.812533,32.7,2.46,203.7,6,1.5,104.1,4.214,-4.4,0,1,80518
2026-05-13T00:13:03,36.501369,-4.812550,32.6,0.61,154.2,6,1.2,104.0,4.214,-4.2,0,1,80519
2026-05-13T00:13:33,36.501400,-4.812543,32.7,0.61,260.0,5,1.8,104.1,4.215,-4.4,0,1,80520
2026-05-13T00:16:37,36.501427,-4.812487,33.6,1.86,139.1,6,1.1,104.3,4.215,-4.2,0,1,80521
2026-05-13T00:19:41,36.501362,-4.812557,27.4,0.48,295.4,6,1.2,104.1,4.216,-4.4,0,1,80522
2026-05-13T00:22:45,36.501358,-4.812550,26.4,1.28,193.8,8,1.0,104.0,4.216,-4.2,0,1,80523
2026-05-13T00:25:50,36.501396,-4.812507,27.2,0.77,152.0,6,1.8,104.0,4.216,-4.2,0,1,80524
2026-05-13T00:28:54,36.501427,-4.812491,23.0,1.69,80.3,5,1.8,104.1,4.216,-4.4,0,1,80525
2026-05-13T00:31:58,36.501404,-4.812505,23.3,0.56,22.2,8,1.1,104.3,4.215,-4.2,0,1,80526
2026-05-13T00:35:03,36.501427,-4.812605,24.8,1.36,53.6,5,1.3,104.1,4.216,-4.4,0,1,80527
2026-05-13T00:38:08,36.501369,-4.812633,28.5,1.31,236.9,5,1.6,104.3,4.218,-4.2,0,1,80528
2026-05-13T00:38:38,36.501373,-4.812643,27.1,0.60,307.7,6,1.4,104.5,4.216,-4.2,0,1,80529
2026-05-13T00:39:08,36.501389,-4.812630,26.2,1.39,197.1,9,1.0,104.3,4.216,-4.2,0,1,80530
2026-05-13T00:39:38,36.501358,-4.812602,26.6,0.90,210.5,9,1.0,104.5,4.219,-4.2,0,1,80531
2026-05-13T00:40:08,36.501377,-4.812558,25.9,0.52,54.5,9,1.1,104.5,4.218,-4.2,0,1,80532
2026-05-13T00:43:12,36.501358,-4.812577,26.1,1.31,228.4,6,1.3,104.3,4.216,-4.2,0,1,80533
2026-05-13T00:46:17,36.501389,-4.812533,22.5,0.16,302.3,10,1.1,104.5,4.216,-4.2,0,1,80534
2026-05-13T00:49:22,36.501392,-4.812510,24.1,0.38,10.9,6,1.2,104.3,4.218,-4.2,0,1,80535
2026-05-13T00:52:27,36.501347,-4.812562,21.1,1.20,184.6,9,1.0,104.5,4.216,-4.2,0,1,80536
2026-05-13T00:55:31,36.501362,-4.812572,22.4,0.69,189.8,10,1.0,104.5,4.218,-4.2,0,1,80537
2026-05-13T00:58:35,36.501373,-4.812573,24.1,0.91,17.6,7,1.1,104.3,4.215,-4.2,0,1,80538
2026-05-13T01:01:40,36.501354,-4.812537,21.2,0.90,149.1,6,1.4,104.5,4.218,-4.2,0,1,80539
2026-05-13T01:04:44,36.501366,-4.812577,22.1,0.05,275.1,7,1.6,104.6,4.219,-4.2,0,1,80540
2026-05-13T01:07:49,36.501286,-4.812612,21.6,1.88,202.8,6,1.3,104.5,4.218,-4.2,0,1,80541
2026-05-13T01:10:53,36.501354,-4.812547,20.9,1.89,258.8,7,1.2,104.8,4.218,-4.4,0,1,80542
2026-05-13T01:11:23,36.501335,-4.812543,20.1,1.27,177.0,7,1.2,104.3,4.219,-4.2,0,1,80543
2026-05-13T01:11:53,36.501297,-4.812537,20.0,0.92,146.6,4,1.8,104.5,4.218,-4.2,0,1,80544
2026-05-13T01:12:23,36.501339,-4.812551,19.4,0.29,274.5,8,1.1,104.5,4.219,-4.2,0,1,80545
2026-05-13T01:15:27,36.501301,-4.812583,20.0,0.75,252.2,8,1.0,104.8,4.219,-4.4,0,1,80546
2026-05-13T01:18:32,36.501350,-4.812549,23.1,0.59,182.2,5,1.8,104.6,4.219,-4.2,0,1,80547
2026-05-13T01:21:36,36.501320,-4.812480,23.4,1.49,135.9,6,1.2,104.6,4.218,-4.2,0,1,80548
2026-05-13T01:24:40,36.501301,-4.812547,20.0,0.71,190.7,5,1.3,104.5,4.216,-4.2,0,1,80549
2026-05-13T01:27:45,36.501339,-4.812535,22.1,0.80,100.9,5,1.3,104.5,4.218,-4.2,0,1,80550
2026-05-13T01:30:49,36.501343,-4.812600,21.5,0.56,312.3,7,1.3,104.5,4.218,-4.2,0,1,80551
