datetime,lat,lon,alt_m,speed_kts,cog,satellites,hdop,battery_pct,battery_v,charge_rate,rtc_bat_low,fix,boot
2026-03-29T23:36:50,-8.925101,-140.101379,-50.8,3.47,266.3,5,1.8,67.3,3.931,-1.0,0,1,1
2026-03-29T23:39:51,-8.925086,-140.100998,-6.4,1.66,0.9,8,1.4,68.8,3.938,-4.4,0,1,2
2026-03-29T23:40:19,-8.925073,-140.100937,3.3,1.48,66.1,7,1.6,69.0,3.936,-4.4,0,1,3
2026-03-29T23:40:47,-8.925068,-140.100998,12.1,0.14,66.1,8,1.4,69.0,3.940,-4.4,0,1,4
2026-03-29T23:41:14,-8.925071,-140.100922,15.5,0.09,66.1,8,1.3,69.1,3.939,-4.4,0,1,5
