datetime,lat,lon,alt_m,speed_kts,cog,satellites,hdop,battery_pct,battery_v,charge_rate,rtc_bat_low,fix,boot
2026-05-21T12:22:27,51.759792,14.333550,52.6,0.65,191.5,4,5.6,102.2,4.219,1.7,0,1,1
2026-05-21T12:27:36,51.759914,14.333598,78.0,3.49,289.8,5,2.9,104.6,4.219,-2.3,0,1,2
2026-05-21T12:32:45,51.759975,14.333304,70.5,2.42,292.3,7,2.3,104.0,4.196,-6.7,0,1,3
2026-05-21T12:33:21,51.760033,14.332925,66.6,0.84,264.7,3,7.7,101.8,4.194,-4.2,0,1,4
2026-05-21T12:33:54,51.759941,14.333184,66.2,0.19,238.1,6,2.4,101.8,4.196,-4.2,0,1,5
2026-05-21T12:37:01,51.760048,14.333074,67.7,0.47,59.2,4,2.6,102.1,4.198,-4.2,0,1,6
2026-05-21T12:40:08,51.759941,14.333224,68.3,1.61,139.9,3,4.2,101.9,4.191,-4.2,0,1,7
2026-05-21T12:43:16,51.759903,14.333576,72.3,0.43,61.3,4,4.7,101.8,4.187,-4.2,0,1,8
2026-05-21T12:46:23,51.759872,14.333595,74.1,5.66,65.6,4,3.0,101.5,4.189,-4.2,0,1,9
2026-05-21T12:49:36,51.759899,14.333532,71.8,0.22,237.8,5,2.9,101.0,4.187,-4.4,0,1,10
2026-05-21T12:52:45,51.759964,14.333314,69.5,2.56,331.7,5,3.3,100.8,4.184,-4.2,0,1,11
2026-05-21T12:55:54,51.759781,14.333862,71.9,0.18,126.9,5,3.2,100.8,4.184,-4.2,0,1,12
2026-05-21T12:59:02,51.759869,14.333635,75.3,4.24,101.8,5,3.1,100.7,4.187,-4.2,0,1,13
2026-05-21T13:02:10,51.759781,14.333810,76.2,2.07,167.8,5,1.3,100.2,4.182,-4.2,0,1,14
2026-05-21T13:02:43,51.759769,14.333776,76.6,0.07,251.3,3,2.8,100.3,4.185,-4.4,0,1,15
2026-05-21T13:03:18,51.759838,14.333798,76.4,0.99,296.1,5,1.8,100.2,4.181,-4.2,0,1,16
2026-05-21T13:06:27,51.759769,14.333733,86.8,0.27,63.4,8,1.4,100.0,4.179,-4.2,0,1,17
2026-05-21T13:09:34,51.759800,14.333721,87.9,0.00,157.9,3,8.6,100.3,4.176,-4.4,0,1,18
2026-05-21T13:12:42,51.759888,14.333546,86.2,0.27,325.9,7,1.4,99.6,4.180,-4.2,0,1,19
2026-05-21T13:15:49,51.759823,14.333541,90.0,19.84,319.5,4,7.1,99.6,4.174,-4.2,0,1,20
2026-05-21T13:18:57,51.759789,14.333635,91.0,1.31,56.9,5,1.9,99.6,4.180,-4.2,0,1,21
2026-05-21T13:19:30,51.759796,14.333739,91.0,0.03,121.3,4,2.9,99.2,4.176,-4.2,0,1,22
2026-05-21T13:20:03,51.759800,14.333768,90.8,0.27,270.4,3,5.9,99.1,4.176,-4.4,0,1,23
2026-05-21T13:23:13,51.759869,14.333657,84.3,0.14,269.9,5,4.0,99.2,4.170,-4.2,0,1,24
2026-05-21T13:26:21,51.759792,14.333930,78.1,1.55,288.9,3,6.4,98.9,4.170,-4.2,0,1,25
2026-05-21T13:29:28,51.759888,14.333647,76.4,0.31,149.8,4,6.0,98.6,4.173,-4.2,0,1,26
2026-05-21T13:32:35,51.759956,14.333760,75.1,0.00,126.6,3,5.9,98.8,4.165,-4.2,0,1,27
2026-05-21T13:35:43,51.759941,14.333732,70.1,0.19,101.4,5,1.8,98.6,4.166,-4.2,0,1,28
