datetime,lat,lon,alt_m,speed_kts,cog,satellites,hdop,battery_pct,battery_v,charge_rate,rtc_bat_low,fix,boot
2026-05-17T13:11:00,34.059299,-4.979768,366.9,0.10,191.4,10,1.0,15.9,3.701,-6.9,0,1,83103
2026-05-17T15:05:48,34.060596,-4.981979,386.0,0.38,249.3,9,1.1,12.8,3.688,-6.9,0,1,83144
2026-05-17T16:01:30,34.057003,-4.984503,385.7,20.15,155.1,14,0.8,11.6,3.682,-6.9,0,1,83167
2026-05-17T16:16:26,34.002666,-4.990903,451.9,8.86,144.4,13,0.8,9.0,3.675,-6.9,0,1,83187
2026-05-17T16:38:48,33.930866,-4.983823,570.5,0.24,241.0,6,1.0,9.0,3.669,-6.9,0,1,83205
2026-05-17T17:10:27,,,,,,,,7.2,3.646,-3.3,0,0,83220
2026-05-17T17:10:27,,,,,,,,6.7,3.649,-3.3,0,0,83223
2026-05-17T17:10:27,,,,,,,,6.2,3.641,-3.3,0,0,83224
2026-05-17T19:43:33,33.930122,-4.983606,667.0,0.13,253.1,6,1.4,4.9,3.632,-2.3,0,1,83233
