datetime,lat,lon,alt_m,speed_kts,satellites,hdop,battery_pct,battery_v,fix,boot
2026-03-18T00:01:29,-37.867596,144.981216,28.4,0.48,17,0.6,1.5,3.527,1,378
2026-03-18T00:04:32,-37.867596,144.981216,28.6,0.01,15,0.7,1.5,3.537,1,379
2026-03-18T00:07:34,-37.867592,144.981216,28.5,0.70,17,0.6,1.5,3.536,1,380
2026-03-18T00:10:36,-37.867584,144.981216,28.7,0.29,18,0.6,1.5,3.535,1,381
2026-03-18T00:13:38,-37.867592,144.981201,28.8,0.64,19,0.6,1.5,3.533,1,382
2026-03-18T00:16:40,-37.867592,144.981201,29.2,0.03,17,0.6,1.5,3.530,1,383
2026-03-18T00:19:42,-37.867592,144.981186,29.7,0.71,17,0.6,1.5,3.531,1,384
2026-03-18T00:22:44,-37.868690,144.980896,27.5,17.78,16,0.7,1.5,3.530,1,385
2026-03-18T00:25:46,-37.866173,144.986145,31.0,24.47,20,0.6,1.5,3.530,1,386
2026-03-18T00:26:14,-37.864880,144.985733,33.7,0.02,20,0.6,1.5,3.531,1,387
2026-03-18T00:26:40,-37.864872,144.985748,33.2,0.04,20,0.6,1.5,3.534,1,388
2026-03-18T00:29:42,-37.864750,144.987320,34.2,0.22,19,0.6,1.5,3.533,1,389
2026-03-18T00:32:44,-37.864746,144.987335,34.3,0.53,18,0.6,1.5,3.530,1,390
2026-03-18T00:35:46,-37.859009,144.992035,42.6,17.39,17,0.6,1.5,3.533,1,391
2026-03-18T00:38:49,-37.857254,144.989761,42.7,1.07,17,0.6,1.5,3.529,1,392
2026-03-18T00:39:15,-37.857246,144.989761,42.4,0.04,16,0.7,1.5,3.531,1,393
2026-03-18T00:39:42,-37.857361,144.990829,43.2,14.25,18,0.6,1.4,3.531,1,394
2026-03-18T00:40:09,-37.856236,144.987152,32.1,39.70,17,0.6,1.5,3.531,1,395
2026-03-18T00:40:37,-37.854996,144.980820,26.1,39.03,16,0.7,1.5,3.531,1,396
2026-03-18T00:41:04,-37.851261,144.978424,25.3,32.85,17,0.6,1.5,3.531,1,397
2026-03-18T00:41:32,-37.847862,144.977341,25.0,24.12,16,0.7,1.4,3.531,1,398
2026-03-18T00:41:59,-37.844509,144.976135,30.0,28.64,16,0.7,1.5,3.530,1,399
2026-03-18T00:42:26,-37.840931,144.974823,29.2,29.84,16,0.7,1.4,3.531,1,400
2026-03-18T00:42:55,-37.838310,144.973907,39.0,5.62,15,0.7,1.5,3.526,1,401
2026-03-18T00:43:21,-37.837933,144.973770,38.4,12.34,17,0.7,1.5,3.531,1,402
2026-03-18T00:43:50,-37.837566,144.973648,39.5,0.09,16,0.7,1.5,3.531,1,403
2026-03-18T00:44:16,-37.835941,144.972595,36.2,24.60,15,0.8,1.4,3.533,1,404
2026-03-18T00:44:43,-37.836475,144.969574,23.8,11.20,18,0.6,1.5,3.530,1,405
2026-03-18T00:45:11,-37.836376,144.968414,22.4,4.32,15,0.7,1.5,3.527,1,406
2026-03-18T00:45:58,,,,,,,1.4,3.527,0,407
2026-03-18T00:49:18,,,,,,,1.5,3.530,0,408
2026-03-18T00:52:20,-37.836079,144.968384,50.8,1.04,13,0.8,2.0,3.575,1,409
2026-03-18T00:52:46,-37.836098,144.968506,53.9,1.92,9,1.0,2.0,3.578,1,410
2026-03-18T00:53:14,-37.836128,144.968491,53.8,1.30,8,1.1,2.1,3.576,1,411
2026-03-18T00:53:41,-37.836079,144.968491,52.2,2.04,8,1.1,2.1,3.579,1,412
2026-03-18T00:54:08,-37.836037,144.968384,54.3,0.79,9,1.0,2.1,3.579,1,413
2026-03-18T00:54:36,-37.835987,144.968430,54.2,0.12,7,1.3,2.1,3.579,1,414
2026-03-18T00:57:39,-37.836132,144.968536,56.4,1.05,7,1.1,2.2,3.585,1,415
2026-03-18T01:00:39,-37.836056,144.968536,53.3,0.21,12,1.0,2.2,3.589,1,416
2026-03-18T01:03:43,-37.836044,144.968277,52.0,0.75,7,1.2,2.3,3.591,1,417
2026-03-18T01:06:45,-37.836082,144.968430,52.1,0.46,8,1.1,2.3,3.596,1,418
2026-03-18T01:09:47,-37.836151,144.968399,43.7,0.69,8,1.1,2.4,3.600,1,419
2026-03-18T01:12:48,-37.836079,144.968445,31.4,0.06,8,1.2,2.5,3.604,1,420
2026-03-18T01:15:50,-37.836113,144.968613,62.0,1.48,8,1.2,2.8,3.609,1,421
2026-03-18T01:18:52,-37.836060,144.968521,62.6,0.41,12,0.8,2.9,3.611,1,422
2026-03-18T01:21:54,-37.836105,144.968536,61.8,0.80,13,0.7,3.1,3.612,1,423
2026-03-18T01:24:57,-37.835991,144.968384,60.2,2.29,3,2.9,3.4,3.618,1,424
