datetime,lat,lon,alt_m,speed_kts,satellites,hdop,battery_pct,battery_v,fix,boot
2026-03-29T00:00:02,-11.815875,-143.654251,-6.0,13.64,9,1.6,94.3,4.134,1,273
2026-03-29T00:00:30,-11.814652,-143.652893,-1.7,13.69,8,1.9,93.9,4.134,1,274
2026-03-29T00:00:58,-11.813644,-143.651459,-5.3,13.76,7,2.5,93.9,4.134,1,275
2026-03-29T00:01:26,-11.812598,-143.649963,-9.8,13.81,7,2.5,94.0,4.133,1,276
2026-03-29T00:01:54,-11.811385,-143.648544,1.0,13.95,7,2.5,94.2,4.135,1,277
2026-03-29T00:02:22,-11.810195,-143.647293,4.1,13.72,8,1.9,94.2,4.133,1,278
2026-03-29T00:02:49,-11.809140,-143.645859,-1.7,13.44,8,2.3,93.9,4.133,1,279
2026-03-29T00:03:17,-11.808108,-143.644409,-15.1,13.63,8,1.9,94.2,4.135,1,280
2026-03-29T00:03:45,-11.807055,-143.642990,-19.7,14.33,10,2.2,93.9,4.135,1,281
2026-03-29T00:04:13,-11.805939,-143.641602,-16.1,14.07,9,2.1,93.7,4.134,1,282
2026-03-29T00:04:41,-11.804752,-143.640198,-17.5,13.60,10,1.3,93.7,4.131,1,283
2026-03-29T00:05:09,-11.803425,-143.639008,-0.6,13.54,10,1.2,93.7,4.130,1,284
2026-03-29T00:05:37,-11.802232,-143.637665,7.0,14.28,10,1.3,93.9,4.131,1,285
2026-03-29T00:06:04,-11.801167,-143.636307,8.9,13.63,9,2.1,93.9,4.129,1,286
2026-03-29T00:06:32,-11.799957,-143.634949,16.3,13.83,9,1.8,93.9,4.135,1,287
2026-03-29T00:07:00,-11.798845,-143.633514,14.2,13.62,9,2.1,93.5,4.136,1,288
2026-03-29T00:07:28,-11.797760,-143.632050,10.4,13.77,9,2.1,93.9,4.129,1,289
2026-03-29T00:07:56,-11.796603,-143.630661,15.2,14.13,9,2.1,93.7,4.130,1,290
2026-03-29T00:08:24,-11.795485,-143.629211,17.0,13.97,9,2.1,93.4,4.131,1,291
2026-03-29T00:08:52,-11.794380,-143.627792,18.1,13.37,9,1.8,93.5,4.130,1,292
2026-03-29T00:09:19,-11.793175,-143.626541,27.4,13.61,9,2.0,93.5,4.130,1,293
2026-03-29T00:09:47,-11.792078,-143.625137,26.9,13.13,9,1.8,94.2,4.133,1,294
2026-03-29T00:10:15,-11.791001,-143.623718,29.1,13.33,9,2.0,93.7,4.134,1,295
2026-03-29T00:10:43,-11.789872,-143.622330,25.3,13.75,9,2.0,93.5,4.129,1,296
2026-03-29T00:11:11,-11.788744,-143.620956,23.1,13.06,9,2.0,93.7,4.130,1,297
2026-03-29T00:11:39,-11.787614,-143.619553,23.9,14.01,9,2.0,93.5,4.130,1,298
2026-03-29T00:12:07,-11.786509,-143.618118,23.5,13.94,9,2.0,93.2,4.129,1,299
2026-03-29T00:12:34,-11.785447,-143.616776,22.4,13.79,9,2.0,93.5,4.130,1,300
2026-03-29T00:13:02,-11.784368,-143.615341,19.2,13.40,9,1.8,93.7,4.131,1,301
2026-03-29T00:13:30,-11.783268,-143.613953,16.0,13.73,9,2.0,93.4,4.131,1,302
2026-03-29T00:13:58,-11.782084,-143.612595,24.3,14.08,9,2.0,93.1,4.126,1,303
2026-03-29T00:14:26,-11.780954,-143.611191,22.0,14.27,10,1.9,93.2,4.128,1,304
