datetime,lat,lon,alt_m,speed_kts,cog,satellites,hdop,battery_pct,battery_v,charge_rate,rtc_bat_low,fix,boot
2026-05-10T00:02:35,36.501133,-4.812770,29.4,7.98,218.1,5,1.2,71.4,3.957,-4.4,0,1,78100
2026-05-10T00:05:40,36.501472,-4.812410,29.5,0.26,75.1,5,2.2,71.9,3.963,-4.4,0,1,78101
2026-05-10T00:08:45,36.501438,-4.812480,18.5,0.13,52.6,4,2.9,72.2,3.963,-4.4,0,1,78102
2026-05-10T00:11:49,36.501354,-4.812481,24.3,1.63,2.2,4,3.0,72.9,3.969,-4.4,0,1,78103
2026-05-10T00:14:57,36.501457,-4.812490,31.8,0.01,15.1,5,1.9,73.4,3.971,-4.4,0,1,78104
2026-05-10T00:18:01,36.501392,-4.812453,34.2,2.11,4.2,4,3.1,74.1,3.973,-4.4,0,1,78105
2026-05-10T00:21:05,36.501278,-4.812510,38.0,3.33,171.7,3,2.2,74.4,3.979,-4.4,0,1,78106
2026-05-10T00:21:35,36.501301,-4.812638,38.4,0.13,172.5,4,3.6,74.5,3.979,-4.4,0,1,78107
2026-05-10T00:22:05,36.501305,-4.812637,38.0,0.15,173.9,5,1.8,74.4,3.981,-4.4,0,1,78108
2026-05-10T00:25:09,36.501408,-4.812572,30.5,0.08,359.4,4,2.7,74.9,3.983,-4.4,0,1,78109
2026-05-10T00:28:13,36.501389,-4.812541,35.8,2.15,91.0,5,1.2,75.4,3.987,-4.2,0,1,78110
2026-05-10T00:31:17,36.501389,-4.812499,32.2,0.49,77.4,5,1.4,75.9,3.990,-4.4,0,1,78111
2026-05-10T00:34:22,36.501366,-4.812672,22.9,0.21,80.5,4,2.6,76.3,3.993,-4.4,0,1,78112
2026-05-10T00:37:26,36.501442,-4.812573,22.2,1.34,19.6,4,1.8,77.2,3.999,-4.4,0,1,78113
2026-05-10T00:40:30,36.501450,-4.812555,18.8,0.02,249.3,5,1.8,77.5,4.001,-4.4,0,1,78114
2026-05-10T00:43:36,36.501339,-4.812630,22.7,0.10,249.3,3,3.8,77.8,4.005,-4.4,0,1,78115
2026-05-10T00:46:40,36.501373,-4.812588,24.3,0.86,9.2,6,1.1,78.3,4.010,-4.4,0,1,78116
2026-05-10T00:49:45,36.501366,-4.812592,25.8,0.65,103.2,4,1.9,79.0,4.012,-4.4,0,1,78117
2026-05-10T00:52:49,36.501339,-4.812592,27.4,0.73,105.2,6,1.3,79.4,4.017,-4.4,0,1,78118
2026-05-10T00:55:54,36.501389,-4.812655,27.1,0.95,250.1,5,1.4,79.6,4.021,-4.4,0,1,78119
