datetime,lat,lon,alt_m,speed_kts,satellites,hdop,battery_pct,battery_v,fix,boot
2026-03-18T14:51:26,,,,,,,74.9,3.986,0,1
2026-03-18T14:54:45,,,,,,,75.9,3.990,0,2
2026-03-18T14:58:06,,,,,,,76.2,3.995,0,3
2026-03-18T15:03:25,,,,,,,77.2,4.000,0,4
2026-03-18T15:08:45,,,,,,,77.8,4.008,0,5
2026-03-18T15:14:05,,,,,,,78.8,4.015,0,6
2026-03-18T15:24:23,,,,,,,80.7,4.028,0,7
2026-03-18T15:34:41,,,,,,,82.4,4.043,0,8
2026-03-18T15:44:59,,,,,,,84.3,4.055,0,9
2026-03-18T15:55:17,,,,,,,86.1,4.071,0,10
2026-03-18T16:05:35,,,,,,,87.6,4.084,0,11
2026-03-18T16:15:53,,,,,,,89.4,4.100,0,12
2026-03-18T16:26:12,,,,,,,91.3,4.115,0,13
2026-03-18T16:36:30,,,,,,,93.1,4.130,0,14
2026-03-18T16:46:49,,,,,,,95.3,4.145,0,15
2026-03-18T16:57:07,,,,,,,97.2,4.161,0,16
2026-03-18T17:07:26,,,,,,,99.7,4.177,0,17
2026-03-18T17:17:44,,,,,,,101.9,4.196,0,18
2026-03-18T17:28:03,,,,,,,104.0,4.213,0,19
2026-03-18T17:38:21,,,,,,,104.3,4.216,0,20
2026-03-18T17:48:39,,,,,,,104.3,4.218,0,21
2026-03-18T17:58:37,-37.835937,144.968369,-3.2,1.57,9,0.9,104.6,4.219,1,22
2026-03-18T17:59:05,-37.835945,144.968369,-3.9,0.49,9,0.9,104.6,4.218,1,23
2026-03-18T17:59:31,-37.835937,144.968338,-3.6,1.04,9,1.0,104.5,4.218,1,24
2026-03-18T17:59:59,-37.835945,144.968338,-2.3,1.02,10,0.8,104.6,4.219,1,25
2026-03-18T18:00:26,-37.835937,144.968369,-2.3,0.78,8,1.2,104.6,4.218,1,26
2026-03-18T18:00:55,-37.835930,144.968414,-2.1,0.14,8,1.1,104.6,4.218,1,27
2026-03-18T18:03:57,-37.835957,144.968506,0.6,0.45,11,0.8,104.6,4.220,1,28
2026-03-18T18:06:59,-37.835930,144.968567,4.8,0.16,12,0.8,104.3,4.218,1,29
2026-03-18T18:09:59,-37.835918,144.968628,6.7,0.32,11,0.8,104.6,4.218,1,30
2026-03-18T18:13:03,-37.835793,144.968582,17.8,1.46,10,1.3,104.6,4.218,1,31
2026-03-18T18:16:05,-37.836037,144.968506,23.3,0.41,11,0.9,104.6,4.219,1,32
2026-03-18T18:19:07,-37.835979,144.968506,27.0,0.59,13,0.7,104.6,4.219,1,33
2026-03-18T18:22:08,-37.835991,144.968582,25.6,0.84,14,0.7,104.5,4.219,1,34
2026-03-18T18:25:09,-37.836121,144.968460,25.0,0.60,15,0.7,104.3,4.215,1,35
2026-03-18T18:28:12,-37.836105,144.968582,27.4,1.06,14,0.8,104.0,4.215,1,36
2026-03-18T18:31:14,-37.836063,144.968613,29.6,0.69,12,0.8,104.0,4.214,1,37
2026-03-18T18:34:16,-37.836040,144.968643,33.1,0.73,14,0.7,104.0,4.214,1,38
2026-03-18T18:37:18,-37.836037,144.968658,35.4,0.44,13,0.7,104.0,4.213,1,39
2026-03-18T18:40:20,-37.836018,144.968582,37.4,0.54,15,0.8,104.0,4.214,1,40
2026-03-18T18:43:22,-37.835934,144.968597,38.4,0.31,10,1.1,103.7,4.213,1,41
2026-03-18T18:46:24,-37.836048,144.968613,42.5,0.93,10,0.9,104.0,4.213,1,42
2026-03-18T18:49:26,-37.835991,144.968582,43.1,1.48,12,1.0,103.8,4.211,1,43
2026-03-18T18:52:28,-37.835991,144.968613,43.8,0.78,11,1.2,103.7,4.213,1,44
2026-03-18T18:55:30,-37.836037,144.968552,46.7,0.19,13,0.8,103.5,4.211,1,45
2026-03-18T18:58:32,-37.836117,144.968552,47.3,0.98,13,1.0,103.7,4.211,1,46
2026-03-18T19:01:34,-37.836006,144.968704,54.2,0.47,11,0.9,103.7,4.211,1,47
