datetime,lat,lon,alt_m,speed_kts,cog,satellites,hdop,battery_pct,battery_v,charge_rate,rtc_bat_low,fix,boot
2026-03-31T00:01:49,-9.905820,-139.109863,14.1,0.32,332.6,10,1.9,81.6,4.035,-4.4,0,1,197
2026-03-31T00:04:52,-9.905825,-139.109894,15.5,0.20,168.1,9,1.5,82.1,4.039,-4.4,0,1,198
2026-03-31T00:07:54,-9.905870,-139.109879,16.7,0.11,168.1,9,1.5,82.9,4.043,-4.4,0,1,199
2026-03-31T00:10:57,-9.905855,-139.109818,15.9,0.19,195.4,9,1.4,83.0,4.046,-4.4,0,1,200
2026-03-31T00:13:59,-9.905872,-139.109894,16.4,0.01,255.5,9,1.4,83.7,4.051,-4.4,0,1,201
2026-03-31T00:17:02,-9.905908,-139.109894,16.9,0.26,187.0,9,1.4,84.3,4.055,-3.7,0,1,202
2026-03-31T00:20:04,-9.905902,-139.109879,18.3,0.24,83.4,11,1.1,84.8,4.059,-3.7,0,1,203
2026-03-31T00:23:07,-9.905867,-139.109924,21.2,0.27,328.5,11,1.1,85.2,4.062,-3.7,0,1,204
2026-03-31T00:26:09,-9.905803,-139.109970,22.6,0.11,331.9,10,1.4,85.5,4.066,-3.7,0,1,205
2026-03-31T00:29:12,-9.905772,-139.110001,23.2,0.46,331.9,10,1.4,86.2,4.070,-3.7,0,1,206
2026-03-31T00:32:14,-9.905724,-139.110062,23.7,0.42,323.4,12,1.1,86.3,4.076,-3.7,0,1,207
2026-03-31T00:35:17,-9.905729,-139.110031,24.2,0.23,323.4,11,1.1,87.2,4.081,-4.0,0,1,208
2026-03-31T00:38:19,-9.905838,-139.109985,22.8,0.14,163.6,11,1.4,87.5,4.084,-3.7,0,1,209
2026-03-31T00:41:22,-9.905922,-139.109940,17.9,0.27,181.0,11,1.3,88.1,4.086,-4.0,0,1,210
2026-03-31T00:44:24,-9.905967,-139.109940,13.0,0.01,312.5,10,1.3,89.0,4.093,-4.4,0,1,211
2026-03-31T00:47:28,-9.905951,-139.109924,13.4,1.01,80.2,9,2.1,89.0,4.096,-4.4,0,1,212
2026-03-31T00:50:29,-9.905725,-139.109970,17.5,1.13,324.0,9,2.1,89.9,4.101,-4.2,0,1,213
2026-03-31T00:50:59,-9.905695,-139.109985,17.4,0.84,324.4,9,2.1,89.7,4.101,-4.2,0,1,214
2026-03-31T00:51:27,-9.905680,-139.109985,17.5,0.19,333.4,9,2.1,89.7,4.100,-4.2,0,1,215
2026-03-31T00:54:30,-9.905853,-139.109985,16.2,0.33,340.2,9,2.1,90.5,4.106,-4.2,0,1,216
2026-03-31T00:57:33,-9.905812,-139.110016,15.4,0.46,325.6,9,2.1,90.9,4.110,-4.4,0,1,217
2026-03-31T01:00:34,-9.905762,-139.110001,7.1,0.13,296.1,9,2.0,91.3,4.116,-4.2,0,1,218
2026-03-31T01:03:38,-9.905739,-139.110016,5.2,0.29,335.2,9,2.0,92.1,4.119,-4.4,0,1,219
2026-03-31T01:06:39,-9.905740,-139.110016,9.4,0.25,316.1,9,1.9,92.6,4.124,-4.2,0,1,220
2026-03-31T01:09:42,-9.905777,-139.110031,7.8,0.03,74.8,10,1.5,93.4,4.126,-4.4,0,1,221
2026-03-31T01:12:44,-9.905842,-139.109970,6.4,0.22,165.3,10,1.1,93.9,4.133,-4.2,0,1,222
2026-03-31T01:15:47,-9.905863,-139.109970,9.3,0.27,348.3,10,1.5,94.2,4.137,-4.2,0,1,223
2026-03-31T01:18:49,-9.905945,-139.109940,9.8,0.25,314.1,10,1.2,94.8,4.142,-4.2,0,1,224
2026-03-31T01:21:52,-9.905878,-139.109985,5.3,0.32,305.2,10,1.3,95.8,4.148,-4.2,0,1,225
2026-03-31T01:24:54,-9.905860,-139.110016,5.7,0.21,324.6,10,1.1,96.1,4.151,-4.2,0,1,226
