datetime,lat,lon,alt_m,speed_kts,satellites,hdop,battery_pct,battery_v,fix,boot
2026-03-22T00:01:41,-36.854805,174.733551,99.3,1.83,3,5.6,93.1,4.126,1,506
2026-03-22T00:04:43,-36.856133,174.734512,110.8,3.25,5,1.7,93.1,4.128,1,507
2026-03-22T00:05:30,,,,,,,92.9,4.125,0,508
2026-03-22T00:08:50,,,,,,,92.3,4.121,0,509
2026-03-22T00:12:11,,,,,,,92.6,4.124,0,510
2026-03-22T00:17:11,-36.854919,174.733994,42.2,1.52,4,2.3,92.3,4.120,1,511
2026-03-22T00:17:58,,,,,,,92.3,4.120,0,512
2026-03-22T00:21:02,-36.855156,174.733963,41.0,4.55,2,100.0,92.1,4.120,1,513
2026-03-22T00:21:49,,,,,,,92.1,4.117,0,514
2026-03-22T00:25:09,,,,,,,91.6,4.119,0,515
2026-03-22T00:28:11,-36.854740,174.733749,72.2,0.14,5,1.9,91.3,4.114,1,516
2026-03-22T00:31:13,-36.855358,174.732925,202.7,1.84,2,100.0,91.8,4.114,1,517
2026-03-22T00:32:00,,,,,,,91.5,4.115,0,518
2026-03-22T00:35:01,-36.855022,174.733719,191.1,0.08,5,1.6,91.5,4.110,1,519
2026-03-22T00:38:03,-36.855141,174.733932,189.2,1.44,4,1.7,91.3,4.114,1,520
2026-03-22T00:41:05,-36.854805,174.734161,176.2,0.43,5,1.5,91.3,4.110,1,521
2026-03-22T00:44:08,-36.854328,174.733246,144.3,0.74,6,1.6,91.2,4.113,1,522
2026-03-22T00:47:10,-36.855331,174.733856,103.7,1.21,5,2.3,91.2,4.111,1,523
2026-03-22T00:50:11,-36.854500,174.733017,255.9,0.18,4,2.8,90.9,4.105,1,524
2026-03-22T00:53:13,-36.855362,174.733810,10.8,2.73,4,1.7,90.9,4.105,1,525
2026-03-22T00:56:16,-36.854774,174.733292,14.2,1.30,5,2.5,90.5,4.106,1,526
2026-03-22T00:57:00,-36.855194,174.733826,6.6,1.80,4,2.7,90.5,4.104,1,527
2026-03-22T00:57:26,-36.855228,174.733780,-8.9,1.79,4,2.7,90.5,4.109,1,528
2026-03-22T00:57:53,-36.855156,174.733871,5.7,1.78,7,1.0,90.4,4.108,1,529
2026-03-22T00:58:22,-36.855236,174.733765,-11.5,3.50,4,3.3,90.5,4.105,1,530
2026-03-22T00:59:03,-36.854504,174.733521,-16.0,1.52,3,3.3,90.7,4.104,1,531
2026-03-22T00:59:30,-36.854939,174.733810,-10.9,0.97,7,1.4,90.4,4.104,1,532
2026-03-22T00:59:59,-36.854679,174.733551,0.1,0.95,4,1.6,90.5,4.101,1,533
2026-03-22T01:02:59,-36.854317,174.732742,33.7,2.25,3,2.7,90.2,4.104,1,534
2026-03-22T01:06:20,,,,,,,90.2,4.104,0,535
2026-03-22T01:09:23,-36.855118,174.733383,310.1,1.20,4,1.3,90.2,4.101,1,536
2026-03-22T01:09:49,-36.854912,174.733490,307.7,0.06,4,1.5,89.9,4.101,1,537
2026-03-22T01:10:17,-36.854942,174.733627,17.8,0.83,6,1.6,90.1,4.102,1,538
2026-03-22T01:13:19,-36.855217,174.733337,27.7,0.02,4,2.6,89.9,4.104,1,539
2026-03-22T01:16:21,-36.854446,174.732971,22.7,2.50,5,2.1,89.9,4.099,1,540
2026-03-22T01:19:42,,,,,,,89.7,4.100,0,541
2026-03-22T01:22:44,-36.854637,174.733215,-5.2,2.79,4,2.2,89.4,4.094,1,542
2026-03-22T01:23:30,,,,,,,89.3,4.097,0,543
2026-03-22T01:26:32,-36.855267,174.733612,34.8,0.88,3,4.6,89.6,4.096,1,544
2026-03-22T01:29:34,-36.854870,174.733215,-62.0,1.45,5,1.8,89.4,4.099,1,545
2026-03-22T01:32:55,,,,,,,89.0,4.095,0,546
2026-03-22T01:36:15,,,,,,,89.0,4.095,0,547
2026-03-22T01:39:23,-36.855572,174.734177,-99.3,0.05,3,2.7,88.8,4.095,1,548
2026-03-22T01:42:24,-36.855137,174.733597,-133.1,0.55,5,1.8,88.5,4.094,1,549
2026-03-22T01:45:27,-36.855213,174.733871,-129.1,1.32,4,2.2,88.5,4.090,1,550
2026-03-22T01:48:29,-36.855339,174.734253,-117.0,1.13,12,0.8,88.2,4.091,1,551
2026-03-22T01:48:56,-36.855324,174.734268,-116.8,0.07,13,0.7,88.5,4.091,1,552
2026-03-22T01:49:24,-36.855206,174.734222,-115.9,0.60,13,0.7,88.4,4.088,1,553
2026-03-22T01:52:26,-36.854965,174.733612,-103.1,0.53,16,0.6,88.4,4.088,1,554
2026-03-22T01:55:28,-36.854218,174.732712,-85.8,1.53,11,0.8,88.1,4.086,1,555
2026-03-22T01:58:30,-36.856270,174.738266,14.1,0.22,16,0.6,87.9,4.085,1,556
2026-03-22T02:01:32,-36.856266,174.738235,16.0,0.56,13,0.8,88.1,4.088,1,557
2026-03-22T02:04:34,-36.856251,174.738266,17.8,0.06,15,0.7,87.9,4.081,1,558
2026-03-22T02:07:36,-36.856247,174.738235,20.2,1.01,15,0.7,87.9,4.086,1,559
2026-03-22T02:10:38,-36.856232,174.738220,22.9,0.46,15,0.7,87.9,4.082,1,560
2026-03-22T02:13:40,-36.856213,174.738251,25.5,0.53,12,0.9,87.6,4.081,1,561
2026-03-22T02:16:42,-36.856209,174.738266,28.1,0.36,13,0.7,87.5,4.080,1,562
2026-03-22T02:19:44,-36.856228,174.738235,28.6,0.87,14,0.8,87.5,4.081,1,563
2026-03-22T02:22:46,-36.856228,174.738220,29.3,0.70,11,0.9,87.4,4.079,1,564
2026-03-22T02:25:48,-36.856236,174.738297,29.3,0.32,12,0.8,87.2,4.075,1,565
2026-03-22T02:28:49,-36.856236,174.738312,29.0,0.47,12,0.9,87.5,4.077,1,566
2026-03-22T02:31:51,-36.856243,174.738312,30.2,0.17,13,0.8,87.1,4.076,1,567
2026-03-22T02:34:53,-36.856255,174.738312,31.2,0.24,11,0.9,87.1,4.079,1,568
2026-03-22T02:37:55,-36.856220,174.738297,32.5,0.42,13,0.8,86.9,4.074,1,569
2026-03-22T02:40:57,-36.856209,174.738297,34.1,0.73,14,0.8,86.8,4.075,1,570
2026-03-22T02:43:59,-36.856236,174.738297,35.8,0.81,14,0.7,87.1,4.071,1,571
2026-03-22T02:47:01,-36.856194,174.738312,36.8,0.70,14,0.8,86.8,4.075,1,572
2026-03-22T02:50:03,-36.856197,174.738312,38.0,0.84,12,0.9,86.5,4.071,1,573
2026-03-22T02:53:04,-36.856220,174.738312,40.1,0.28,14,0.8,86.2,4.068,1,574
