datetime,lat,lon,alt_m,speed_kts,cog,satellites,hdop,battery_pct,battery_v,charge_rate,rtc_bat_low,fix,boot
2026-03-29T23:46:33,-8.925105,-140.101089,-19.3,5.71,267.4,3,2.4,69.5,3.947,-0.6,0,1,1
2026-03-29T23:49:34,-8.925061,-140.100525,61.1,4.67,64.9,5,2.1,70.8,3.953,-4.4,0,1,2
2026-03-29T23:50:02,-8.924974,-140.100693,69.7,3.61,42.1,4,2.2,70.6,3.951,-4.4,0,1,3
2026-03-29T23:50:29,-8.924990,-140.100677,83.8,3.72,92.1,4,2.2,70.8,3.954,-4.4,0,1,4
2026-03-29T23:50:57,-8.924891,-140.100525,85.6,3.70,46.2,4,2.2,71.1,3.954,-4.4,0,1,5
2026-03-29T23:51:24,-8.924974,-140.100540,79.5,3.36,45.0,5,2.0,71.1,3.951,-4.4,0,1,6
2026-03-29T23:51:58,-8.924313,-140.100464,79.6,0.09,42.1,3,2.7,71.3,3.955,-4.4,0,1,7
2026-03-29T23:52:26,-8.924694,-140.100601,79.0,4.11,61.0,5,2.0,71.3,3.956,-4.4,0,1,8
2026-03-29T23:52:54,-8.924773,-140.100677,67.5,2.67,40.6,5,2.0,71.1,3.956,-4.4,0,1,9
2026-03-29T23:53:22,-8.924850,-140.100708,65.1,0.14,40.6,4,2.2,71.3,3.956,-4.4,0,1,10
2026-03-29T23:53:49,-8.924982,-140.100815,61.2,0.11,40.6,5,2.0,71.8,3.956,-4.4,0,1,11
2026-03-29T23:56:52,-8.924970,-140.100998,30.9,2.25,108.2,5,2.0,72.1,3.961,-4.4,0,1,12
2026-03-29T23:59:54,-8.924992,-140.100998,8.8,0.07,122.1,5,2.0,72.6,3.965,-4.4,0,1,13
