datetime,lat,lon,alt_m,speed_kts,cog,satellites,hdop,battery_pct,battery_v,charge_rate,rtc_bat_low,fix,boot
2026-05-11T09:32:42,37.391689,-6.000862,29.5,1.17,304.9,5,1.5,99.1,4.168,-4.4,0,1,79025
2026-05-11T09:33:12,37.391697,-6.000905,28.9,0.87,233.7,4,1.9,98.9,4.175,-4.2,0,1,79026
2026-05-11T09:33:42,37.391708,-6.000918,30.9,1.45,192.6,3,2.0,98.8,4.171,-4.2,0,1,79027
2026-05-11T09:34:28,37.391392,-6.000883,38.4,0.24,165.2,4,3.1,98.9,4.168,-4.2,0,1,79028
2026-05-11T09:35:04,37.391701,-6.000749,38.1,0.43,250.7,5,1.5,98.8,4.162,2629.5,0,1,79029
2026-05-11T09:35:04,,,,,,,,99.1,4.160,-4.4,0,0,79030
2026-05-11T09:35:04,,,,,,,,98.1,4.159,-4.2,0,0,79031
2026-05-11T09:45:14,37.392712,-6.002045,54.6,0.25,41.8,4,1.7,98.3,4.166,-4.2,0,1,79032
2026-05-11T09:48:18,37.386040,-5.999845,58.9,22.49,140.4,5,1.5,97.8,4.157,-4.4,0,1,79033
2026-05-11T09:48:48,37.383652,-5.997072,49.5,23.30,141.4,6,1.2,97.5,4.162,-4.2,0,1,79034
2026-05-11T09:49:18,37.383202,-5.996622,45.4,1.17,159.3,6,2.0,97.5,4.164,-4.2,0,1,79035
2026-05-11T09:49:48,37.382446,-5.996022,43.4,9.99,158.2,5,1.8,97.3,4.162,2591.7,0,1,79036
2026-05-11T09:50:18,37.380749,-5.994765,39.4,11.05,146.6,5,2.0,97.5,4.157,-4.2,0,1,79037
2026-05-11T09:50:48,37.379250,-5.993835,30.7,15.68,154.3,5,1.6,97.2,4.160,-4.4,0,1,79038
2026-05-11T09:51:18,37.376961,-5.992413,21.4,23.35,153.9,6,1.3,97.2,4.153,-4.4,0,1,79039
2026-05-11T09:51:48,37.374722,-5.991032,22.3,26.15,151.8,6,1.3,97.2,4.156,-4.4,0,1,79040
2026-05-11T09:52:18,37.371544,-5.989105,19.2,23.93,152.0,7,1.8,97.0,4.157,-4.2,0,1,79041
2026-05-11T09:52:48,37.371510,-5.989168,18.9,0.34,154.5,5,3.4,97.3,4.154,-4.2,0,1,79042
2026-05-11T09:53:18,37.369869,-5.988110,18.4,12.36,148.3,7,1.2,97.3,4.154,-4.2,0,1,79043
2026-05-11T09:53:48,37.369919,-5.988146,17.9,0.33,148.3,7,1.1,97.2,4.154,-4.4,0,1,79044
2026-05-11T09:54:18,37.369942,-5.988156,17.8,1.69,56.1,6,1.6,97.0,4.155,-4.2,0,1,79045
2026-05-11T09:54:48,37.366974,-5.986488,14.4,28.79,155.5,8,1.2,96.9,4.151,-4.2,0,1,79046
2026-05-11T09:55:18,37.363979,-5.984713,10.3,12.16,161.0,8,1.1,97.3,4.160,-4.2,0,1,79047
2026-05-11T09:55:48,37.363937,-5.984663,9.8,0.49,130.7,5,1.5,96.9,4.145,-4.2,0,1,79048
2026-05-11T09:56:18,37.362785,-5.983945,10.5,22.20,153.6,6,1.3,97.3,4.153,-4.2,0,1,79049
2026-05-11T09:56:48,37.359650,-5.982096,12.7,24.73,157.1,6,1.3,96.6,4.153,-4.4,0,1,79050
2026-05-11T09:57:18,37.358528,-5.981367,12.0,0.38,303.0,5,1.7,96.9,4.160,-4.2,0,1,79051
2026-05-11T09:57:48,37.357632,-5.980873,15.3,8.57,152.1,8,1.1,96.7,4.153,-4.2,0,1,79052
2026-05-11T09:58:18,37.356590,-5.980305,18.1,6.78,143.5,7,1.6,96.7,4.150,-4.2,0,1,79053
2026-05-11T09:58:48,37.355507,-5.979538,18.8,14.25,137.6,7,1.2,97.0,4.160,-4.2,0,1,79054
2026-05-11T09:59:18,37.352844,-5.977975,20.3,18.72,153.4,6,1.4,96.6,4.153,-4.4,0,1,79055
2026-05-11T09:59:48,37.351692,-5.977348,21.1,14.77,162.2,6,1.4,96.7,4.151,-4.2,0,1,79056
2026-05-11T10:00:18,37.347946,-5.976320,28.1,28.68,173.8,8,1.0,96.6,4.153,-4.4,0,1,79057
2026-05-11T10:00:48,37.344391,-5.974453,30.7,26.42,153.4,7,1.2,96.7,4.157,-4.2,0,1,79058
2026-05-11T10:01:18,37.341145,-5.973880,19.6,24.23,225.9,9,1.0,96.6,4.150,2570.5,0,1,79059
2026-05-11T10:01:48,37.340599,-5.977181,7.0,25.17,282.2,8,1.3,96.9,4.157,-4.2,0,1,79060
2026-05-11T10:02:18,37.342159,-5.980496,3.5,20.27,260.3,9,1.0,96.7,4.151,-4.2,0,1,79061
2026-05-11T10:02:48,37.338615,-5.983891,11.3,38.69,206.3,6,1.4,96.6,4.157,-4.4,0,1,79062
2026-05-11T10:03:18,37.331928,-5.985763,16.9,52.90,183.3,6,1.6,96.9,4.149,-4.2,0,1,79063
2026-05-11T10:03:48,37.324394,-5.984935,21.6,51.33,165.8,9,1.0,96.9,4.148,-4.2,0,1,79064
2026-05-11T10:04:18,37.317673,-5.983238,15.1,49.65,174.4,6,1.2,96.7,4.157,-4.2,0,1,79065
2026-05-11T10:04:48,37.310440,-5.983141,9.0,53.99,178.5,7,1.2,96.4,4.148,-4.2,0,1,79066
2026-05-11T10:05:18,37.303066,-5.981351,9.5,53.08,164.0,6,1.4,96.7,4.156,-4.2,0,1,79067
2026-05-11T10:05:48,37.296043,-5.979213,14.7,52.52,172.4,6,1.3,96.2,4.156,-4.2,0,1,79068
2026-05-11T10:06:18,37.288685,-5.978738,20.0,53.43,182.7,7,1.1,96.2,4.148,-4.2,0,1,79069
2026-05-11T10:06:48,37.281162,-5.979225,23.2,50.37,177.9,7,1.1,96.4,4.145,-4.2,0,1,79070
2026-05-11T10:07:18,37.273346,-5.976671,26.6,57.19,149.2,5,1.4,96.2,4.154,-4.2,0,1,79071
2026-05-11T10:07:48,37.268078,-5.969662,38.8,53.62,127.6,7,1.1,96.2,4.146,-4.2,0,1,79072
2026-05-11T10:08:18,37.262787,-5.963109,37.4,53.98,144.6,3,2.2,95.9,4.154,-4.4,0,1,79073
2026-05-11T10:08:48,37.257061,-5.956703,42.6,59.20,123.7,6,1.9,96.7,4.142,-4.2,0,1,79074
2026-05-11T10:09:18,37.254864,-5.947073,49.7,56.96,93.6,7,1.2,96.2,4.146,-4.2,0,1,79075
2026-05-11T10:09:48,37.254292,-5.937285,51.4,54.98,100.5,8,1.1,96.2,4.149,-4.2,0,1,79076
2026-05-11T10:10:18,37.252651,-5.928133,52.4,51.56,103.2,8,1.2,95.9,4.150,-4.4,0,1,79077
2026-05-11T10:10:48,37.250641,-5.918646,50.6,59.19,112.0,7,1.2,96.1,4.142,-4.2,0,1,79078
2026-05-11T10:11:18,37.244553,-5.911909,48.6,59.60,155.7,5,1.4,96.2,4.154,-4.2,0,1,79079
2026-05-11T10:11:48,37.236794,-5.911191,39.8,53.78,181.4,7,1.7,95.9,4.145,-4.4,0,1,79080
2026-05-11T10:12:18,37.229256,-5.910918,30.2,54.70,176.6,7,1.2,95.9,4.144,-4.4,0,1,79081
2026-05-11T10:12:48,37.220997,-5.909827,23.2,61.64,171.7,8,1.1,95.8,4.146,-4.2,0,1,79082
2026-05-11T10:13:18,37.212669,-5.908972,22.7,58.07,178.5,5,1.9,95.8,4.153,-4.2,0,1,79083
2026-05-11T10:13:48,37.204811,-5.909403,26.0,53.07,185.9,6,1.8,95.9,4.144,-4.4,0,1,79084
2026-05-11T10:14:18,37.197342,-5.910650,18.2,56.83,188.7,8,1.0,95.8,4.142,-4.2,0,1,79085
2026-05-11T10:14:48,37.189529,-5.911098,11.8,59.98,180.8,4,2.3,95.8,4.141,-4.2,0,1,79086
2026-05-11T10:15:18,37.181290,-5.910612,23.2,57.41,175.6,5,2.1,96.1,4.144,-4.2,0,1,79087
2026-05-11T10:15:48,37.173458,-5.909405,24.7,58.95,169.8,6,1.2,95.6,4.142,-4.2,0,1,79088
2026-05-11T10:16:18,37.165501,-5.908603,17.8,55.58,180.6,7,1.1,95.6,4.144,-4.2,0,1,79089
2026-05-11T10:16:48,37.157955,-5.910430,16.2,49.98,197.7,6,2.0,95.6,4.150,-4.2,0,1,79090
2026-05-11T10:17:18,37.151531,-5.913528,5.7,42.58,197.7,7,1.1,95.6,4.149,-4.2,0,1,79091
